title,url,description,document_type,category,subcategory,slug,file_name,source_line_number
Create a custom field key,https://docs.metronome.com/api-reference/custom-fields/create-a-custom-field-key.md,"Creates a new custom field key for a given entity (e.g. billable metric, contract, alert).",api_reference,custom-fields,,create-a-custom-field-key,create-a-custom-field-key.md,53
Delete a custom field key,https://docs.metronome.com/api-reference/custom-fields/delete-a-custom-field-key.md,"Removes a custom field key from the allowlist for a specific entity type, preventing future use of that key across all instances of the entity. Existing values for this key on entity instances will no longer be accessible once the key is removed.",api_reference,custom-fields,,delete-a-custom-field-key,delete-a-custom-field-key.md,54
Delete custom fields,https://docs.metronome.com/api-reference/custom-fields/delete-custom-fields.md,"Remove specific custom field values from a Metronome entity instance by specifying the field keys to delete. Use this endpoint to clean up unwanted custom field data while preserving other fields on the same entity. Requires the entity type, entity ID, and array of keys to remove.",api_reference,custom-fields,,delete-custom-fields,delete-custom-fields.md,55
List custom field keys,https://docs.metronome.com/api-reference/custom-fields/list-custom-field-keys.md,"Retrieve all your active custom field keys, with optional filtering by entity type (customer, contract, product, etc.). Use this endpoint to discover what custom field keys are available before setting values on entities or to audit your custom field configuration across different entity types.",api_reference,custom-fields,,list-custom-field-keys,list-custom-field-keys.md,56
Set custom field values,https://docs.metronome.com/api-reference/custom-fields/set-custom-field-values.md,Sets custom field values on a specific Metronome entity instance. Overwrites existing values for matching keys while preserving other fields. All updates are transactional—either all values are set or none are. Custom field values are limited to 200 characters each.,api_reference,custom-fields,,set-custom-field-values,set-custom-field-values.md,57
Archive a customer,https://docs.metronome.com/api-reference/customers/archive-a-customer.md,Use this endpoint to archive a customer while preserving auditability. Archiving a customer will automatically archive all contracts as of the current date and void all corresponding invoices. Use this endpoint if a customer is onboarded by mistake.,api_reference,customers,,archive-a-customer,archive-a-customer.md,58
Archive billing provider configurations for a customer,https://docs.metronome.com/api-reference/customers/archive-billing-provider-configurations-for-a-customer.md,"Deprecate an existing billing configuration for a customer to handle churn or billing and collection preference changes. Archiving a billing configuration takes effect immediately. If there are active contracts using the configuration, Metronome will archive the configuration on the contract and imm…",api_reference,customers,,archive-billing-provider-configurations-for-a-customer,archive-billing-provider-configurations-for-a-customer.md,59
Create a customer,https://docs.metronome.com/api-reference/customers/create-a-customer.md,Create a new customer in Metronome and optionally the billing configuration (recommended) which dictates where invoices for the customer will be sent or where payment will be collected.,api_reference,customers,,create-a-customer,create-a-customer.md,60
Create or update customer ingest aliases,https://docs.metronome.com/api-reference/customers/create-or-update-customer-ingest-aliases.md,Sets the ingest aliases for a customer. Use this endpoint to associate a Metronome customer with an internal ID for easier tracking between systems. Ingest aliases can be used in the `customer_id` field when sending usage events to Metronome.,api_reference,customers,,create-or-update-customer-ingest-aliases,create-or-update-customer-ingest-aliases.md,61
Fetch billing provider configurations for a customer,https://docs.metronome.com/api-reference/customers/fetch-billing-provider-configurations-for-a-customer.md,Returns all billing configurations previously set for the customer. Use during the contract provisioning process to fetch the `billing_provider_configuration_id` needed to set the contract billing configuration.,api_reference,customers,,fetch-billing-provider-configurations-for-a-customer,fetch-billing-provider-configurations-for-a-customer.md,62
Get a customer,https://docs.metronome.com/api-reference/customers/get-a-customer.md,"Get detailed information for a specific customer by their Metronome ID. Returns customer profile data including name, creation date, ingest aliases, configuration settings, and custom fields. Use this endpoint to fetch complete customer details for billing operations or account management.",api_reference,customers,,get-a-customer,get-a-customer.md,63
Get an embeddable customer dashboard,https://docs.metronome.com/api-reference/customers/get-an-embeddable-customer-dashboard.md,"Generate secure, embeddable dashboard URLs that allow you to seamlessly integrate Metronome's billing visualizations directly into your application. This endpoint creates authenticated iframe-ready URLs for customer-specific dashboards, providing a white-labeled billing experience without building c…",api_reference,customers,,get-an-embeddable-customer-dashboard,get-an-embeddable-customer-dashboard.md,64
List customers,https://docs.metronome.com/api-reference/customers/list-customers.md,"Gets a paginated list of all customers in your Metronome account. Use this endpoint to browse your customer base, implement customer search functionality, or sync customer data with external systems. Returns customer details including IDs, names, and configuration settings. Supports filtering and pa…",api_reference,customers,,list-customers,list-customers.md,65
Set billing provider configurations for a customer,https://docs.metronome.com/api-reference/customers/set-billing-provider-configurations-for-a-customer.md,"Create a billing configuration for a customer. Once created, these configurations are available to associate to a contract and dictates which downstream system to collect payment in or send the invoice to. You can create multiple configurations per customer. The configuration formats are distinct fo…",api_reference,customers,,set-billing-provider-configurations-for-a-customer,set-billing-provider-configurations-for-a-customer.md,66
Update a customer configuration,https://docs.metronome.com/api-reference/customers/update-a-customer-configuration.md,"Update configuration settings for a specific customer, such as external system integrations (e.g., Salesforce account ID) and other customer-specific billing parameters. Use this endpoint to modify customer configurations without affecting core customer data like name or ingest aliases.",api_reference,customers,,update-a-customer-configuration,update-a-customer-configuration.md,67
Update a customer name,https://docs.metronome.com/api-reference/customers/update-a-customer-name.md,"Updates the display name for a customer record. Use this to correct customer names, update business names after rebranding, or maintain accurate customer information for invoicing and reporting. Returns the updated customer object with the new name applied immediately across all billing documents an…",api_reference,customers,,update-a-customer-name,update-a-customer-name.md,68
API idempotency,https://docs.metronome.com/api-reference/idempotency.md,,api_reference,,,idempotency,idempotency.md,69
API Reference,https://docs.metronome.com/api-reference/introduction.md,,api_reference,,,introduction,introduction.md,70
Get an invoice,https://docs.metronome.com/api-reference/invoices/get-an-invoice.md,"Retrieve detailed information for a specific invoice by its unique identifier. This endpoint returns comprehensive invoice data including line items, applied credits, totals, and billing period details for both finalized and draft invoices.",api_reference,invoices,,get-an-invoice,get-an-invoice.md,71
Get an invoice PDF,https://docs.metronome.com/api-reference/invoices/get-an-invoice-pdf.md,"Retrieve a PDF version of a specific invoice by its unique identifier. This endpoint generates a professionally formatted invoice document suitable for sharing with customers, accounting teams, or for record-keeping purposes.",api_reference,invoices,,get-an-invoice-pdf,get-an-invoice-pdf.md,72
List invoice breakdowns,https://docs.metronome.com/api-reference/invoices/list-invoice-breakdowns.md,"Retrieve granular time-series breakdowns of invoice data at hourly or daily intervals. This endpoint transforms standard invoices into detailed timelines, enabling you to track usage patterns, identify consumption spikes, and provide customers with transparency into their billing details throughout…",api_reference,invoices,,list-invoice-breakdowns,list-invoice-breakdowns.md,73
List invoices,https://docs.metronome.com/api-reference/invoices/list-invoices.md,"Retrieves a paginated list of invoices for a specific customer, with flexible filtering options to narrow results by status, date range, credit type, and more. This endpoint provides a comprehensive view of a customer's billing history and current charges, supporting both real-time billing dashboard…",api_reference,invoices,,list-invoices,list-invoices.md,74
Preview events,https://docs.metronome.com/api-reference/invoices/preview-events.md,Preview how a set of events will affect a customer's invoices. Generates draft invoices for a customer using their current contract configuration and the provided events.  This is useful for testing how new events will affect the customer's invoices before they are actually processed. Customers on c…,api_reference,invoices,,preview-events,preview-events.md,75
Regenerate an invoice,https://docs.metronome.com/api-reference/invoices/regenerate-an-invoice.md,"This endpoint regenerates a voided invoice and recalculates the invoice based on up-to-date rates, available balances, and other fees regardless of the billing period.",api_reference,invoices,,regenerate-an-invoice,regenerate-an-invoice.md,76
Void an invoice,https://docs.metronome.com/api-reference/invoices/void-an-invoice.md,"Permanently cancels an invoice by setting its status to voided, preventing collection and removing it from customer billing. Use this to correct billing errors, cancel incorrect charges, or handle disputed invoices that should not be collected. Returns the voided invoice ID with the status change ap…",api_reference,invoices,,void-an-invoice,void-an-invoice.md,77
List all packages,https://docs.metronome.com/api-reference/list-all-packages.md,"Lists all packages with details including name, aliases, duration, and terms. To view contracts on a specific package, use the `listContractsOnPackage` endpoint.",api_reference,,,list-all-packages,list-all-packages.md,78
Archive an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/archive-an-offset-lifecycle-event-notification-configuration.md,Archive an offset lifecycle event notification configuration. Archived notifications are not processed.,api_reference,notifications,,archive-an-offset-lifecycle-event-notification-configuration,archive-an-offset-lifecycle-event-notification-configuration.md,79
Create an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/create-an-offset-lifecycle-event-notification-configuration.md,Create an offset lifecycle event notification configuration. The lifecycle event type is inferred from the policy.type field.,api_reference,notifications,,create-an-offset-lifecycle-event-notification-configuration,create-an-offset-lifecycle-event-notification-configuration.md,80
Edit an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/edit-an-offset-lifecycle-event-notification-configuration.md,Edit an existing offset lifecycle event notification configuration.,api_reference,notifications,,edit-an-offset-lifecycle-event-notification-configuration,edit-an-offset-lifecycle-event-notification-configuration.md,81
Get an offset lifecycle event notification configuration,https://docs.metronome.com/api-reference/notifications/get-an-offset-lifecycle-event-notification-configuration.md,Retrieve a specific offset lifecycle event notification configuration by ID.,api_reference,notifications,,get-an-offset-lifecycle-event-notification-configuration,get-an-offset-lifecycle-event-notification-configuration.md,82
List offset lifecycle event notification configurations,https://docs.metronome.com/api-reference/notifications/list-offset-lifecycle-event-notification-configurations.md,List offset lifecycle event notification configurations. These are user-created notifications that trigger at a specified time offset relative to lifecycle events. Returns a maximum of 400 results per request.,api_reference,notifications,,list-offset-lifecycle-event-notification-configurations,list-offset-lifecycle-event-notification-configurations.md,83
List system notification event types,https://docs.metronome.com/api-reference/notifications/list-system-notification-event-types.md,List available system lifecycle event types for notifications. These are read-only event types that can be used when creating offset notifications.,api_reference,notifications,,list-system-notification-event-types,list-system-notification-event-types.md,84
Archive a package,https://docs.metronome.com/api-reference/packages/archive-a-package.md,"Archive a package. Archived packages cannot be used to create new contracts. However, existing contracts associated with the package will continue to function as normal. Once you archive a package, you can still retrieve it in the UI and API, but you cannot unarchive it.",api_reference,packages,,archive-a-package,archive-a-package.md,85
Get a package,https://docs.metronome.com/api-reference/packages/get-a-package.md,"Gets the details for a specific package, including name, aliases, duration, and terms. Use this endpoint to understand a package’s alias schedule, or display a specific package’s details to end customers.",api_reference,packages,,get-a-package,get-a-package.md,86
API Pagination,https://docs.metronome.com/api-reference/pagination.md,,api_reference,,,pagination,pagination.md,87
Use Postman with Metronome,https://docs.metronome.com/api-reference/postman.md,,api_reference,,,postman,postman.md,88
Archive a product,https://docs.metronome.com/api-reference/products/archive-a-product.md,"Archive a product. Any current rate cards associated with this product will continue to function as normal. However, it will no longer be available as an option for newly created rates. Once you archive a product, you can still retrieve it in the UI and API, but you cannot unarchive it.",api_reference,products,,archive-a-product,archive-a-product.md,89
Create a product,https://docs.metronome.com/api-reference/products/create-a-product.md,Create a new product object. Products in Metronome represent your company's individual product or service offerings. A Product can be thought of as the basic unit of a line item on the invoice. This is analogous to SKUs or items in an ERP system. Give the product a meaningful name as they will appea…,api_reference,products,,create-a-product,create-a-product.md,90
Get a product,https://docs.metronome.com/api-reference/products/get-a-product.md,"Retrieve a product by its ID, including all metadata and historical changes.",api_reference,products,,get-a-product,get-a-product.md,91
List products,https://docs.metronome.com/api-reference/products/list-products.md,"Get a paginated list of all products in your organization with their complete configuration, version history, and metadata. By default excludes archived products unless explicitly requested via the `archive_filter` parameter.",api_reference,products,,list-products,list-products.md,92
Update a product,https://docs.metronome.com/api-reference/products/update-a-product.md,"Updates a product's configuration while maintaining billing continuity for active customers. Use this endpoint to modify product names, metrics, pricing rules, and composite settings without disrupting ongoing billing cycles. Changes are scheduled using the starting_at timestamp, which must be on an…",api_reference,products,,update-a-product,update-a-product.md,93
Add a rate,https://docs.metronome.com/api-reference/rate-cards/add-a-rate.md,Add a new rate,api_reference,rate-cards,,add-a-rate,add-a-rate.md,94
Add rates,https://docs.metronome.com/api-reference/rate-cards/add-rates.md,Add new rates,api_reference,rate-cards,,add-rates,add-rates.md,95
Archive a rate card,https://docs.metronome.com/api-reference/rate-cards/archive-a-rate-card.md,"Permanently disable a rate card by archiving it, preventing use in new contracts while preserving existing contract pricing. Use this when retiring old pricing models, consolidating rate cards, or removing outdated pricing structures. Returns the archived rate card ID and stops the rate card from ap…",api_reference,rate-cards,,archive-a-rate-card,archive-a-rate-card.md,96
Create a rate card,https://docs.metronome.com/api-reference/rate-cards/create-a-rate-card.md,"In Metronome, the rate card is the central location for your pricing. Rate cards were built with new product launches and pricing changes in mind - you can update your products and pricing in one place, and that change will be automatically propagated across your customer cohorts. Most clients need…",api_reference,rate-cards,,create-a-rate-card,create-a-rate-card.md,97
Get a rate card,https://docs.metronome.com/api-reference/rate-cards/get-a-rate-card.md,"Return details for a specific rate card including name, description, and aliases. This endpoint does not return rates - use the dedicated getRates or getRateSchedule endpoints to understand the rates on a rate card.",api_reference,rate-cards,,get-a-rate-card,get-a-rate-card.md,98
Get a rate schedule,https://docs.metronome.com/api-reference/rate-cards/get-a-rate-schedule.md,"A rate card defines the prices that you charge for your products. Rate cards support scheduled changes over time, to allow you to easily roll out pricing changes and new product launches across your customer base. Use this endpoint to understand the rate schedule `starting_at` a given date, optional…",api_reference,rate-cards,,get-a-rate-schedule,get-a-rate-schedule.md,99
Get rates,https://docs.metronome.com/api-reference/rate-cards/get-rates.md,"Understand the rate schedule at a given timestamp, optionally filtering the list of rates returned based on properties such as `product_id` and `pricing_group_values`. For example, you may want to display the current price for a given product in your product experience - use this endpoint to fetch t…",api_reference,rate-cards,,get-rates,get-rates.md,100
List rate cards,https://docs.metronome.com/api-reference/rate-cards/list-rate-cards.md,"List all rate cards. Returns rate card IDs, names, descriptions, aliases, and other details. To view the rates associated with a given rate card, use the getRates or getRateSchedule endpoints.",api_reference,rate-cards,,list-rate-cards,list-rate-cards.md,101
Set the rate card products order,https://docs.metronome.com/api-reference/rate-cards/set-the-rate-card-products-order.md,The ordering of products on a rate card determines the order in which the products will appear on customers' invoices. Use this endpoint to set the order of products on the rate card.,api_reference,rate-cards,,set-the-rate-card-products-order,set-the-rate-card-products-order.md,102
Update a rate card,https://docs.metronome.com/api-reference/rate-cards/update-a-rate-card.md,"Update a rate card's name, description, aliases, and credit type conversion rates. This endpoint does not affect underlying pricing rates or schedules.",api_reference,rate-cards,,update-a-rate-card,update-a-rate-card.md,103
